"Velocity_average:0","Velocity_average:1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00058755,0.00013635,1,0,-0.48,0.5,0
0.00041426,0.00018772,1,0.00050002,-0.48,0.5005,0
3.693e-05,0.00021417,1,0.00099999,-0.48,0.501,0
-0.00034045,0.00024062,1,0.0015,-0.48,0.5015,0
-0.00071778,0.00026706,1,0.002,-0.48,0.502,0
-0.0010952,0.00029351,1,0.0025,-0.48,0.5025,0
-0.001311,0.00043276,1,0.003,-0.48,0.503,0
-0.001748,0.00053219,1,0.0035,-0.48,0.5035,0
-0.002185,0.00063163,1,0.004,-0.48,0.504,0
-0.0026219,0.00073106,1,0.0045,-0.48,0.5045,0
-0.0030589,0.0008305,1,0.005,-0.48,0.505,0
-0.0033174,0.0010575,1,0.0055,-0.48,0.5055,0
-0.0038143,0.00123,1,0.006,-0.48,0.506,0
-0.0043112,0.0014025,1,0.0065,-0.48,0.5065,0
-0.0048082,0.001575,1,0.007,-0.48,0.507,0
-0.005305,0.0017475,1,0.0075,-0.48,0.5075,0
-0.0056528,0.0020387,1,0.008,-0.48,0.508,0
-0.006163,0.002308,1,0.0085,-0.48,0.5085,0
-0.0067197,0.0025535,1,0.009,-0.48,0.509,0
-0.0072764,0.002799,1,0.0095,-0.48,0.5095,0
-0.007833,0.0030446,1,0.01,-0.48,0.51,0
-0.0083097,0.003364,1,0.0105,-0.48,0.5105,0
-0.0087932,0.0037658,1,0.011,-0.48,0.511,0
-0.0094094,0.0040842,1,0.0115,-0.48,0.5115,0
-0.010026,0.0044027,1,0.012,-0.48,0.512,0
-0.010642,0.0047211,1,0.0125,-0.48,0.5125,0
-0.01126,0.0050711,1,0.013,-0.48,0.513,0
-0.010854,0.0056247,1,0.0135,-0.48,0.5135,0
-0.010493,0.0060156,1,0.014,-0.48,0.514,0
-0.010133,0.0064065,1,0.0145,-0.48,0.5145,0
-0.0097719,0.0067974,1,0.015,-0.48,0.515,0
-0.0094112,0.0071882,1,0.0155,-0.48,0.5155,0
-0.0090464,0.0075905,1,0.016,-0.48,0.516,0
-0.0086134,0.008153,1,0.0165,-0.48,0.5165,0
-0.008219,0.0085723,1,0.017,-0.48,0.517,0
-0.0078247,0.0089916,1,0.0175,-0.48,0.5175,0
-0.0074303,0.009411,1,0.018,-0.48,0.518,0
-0.0070359,0.0098302,1,0.0185,-0.48,0.5185,0
-0.0066355,0.010266,1,0.019,-0.48,0.519,0
-0.0061754,0.010839,1,0.0195,-0.48,0.5195,0
-0.0057474,0.011286,1,0.02,-0.48,0.52,0
-0.0053193,0.011734,1,0.0205,-0.48,0.5205,0
-0.0048913,0.012182,1,0.021,-0.48,0.521,0
-0.0044633,0.01263,1,0.0215,-0.48,0.5215,0
-0.0040278,0.013099,1,0.022,-0.48,0.522,0
-0.00354,0.013682,1,0.0225,-0.48,0.5225,0
-0.0030783,0.014158,1,0.023,-0.48,0.523,0
-0.0026166,0.014634,1,0.0235,-0.48,0.5235,0
-0.002155,0.015111,1,0.024,-0.48,0.524,0
-0.0016933,0.015587,1,0.0245,-0.48,0.5245,0
-0.0012231,0.016087,1,0.025,-0.48,0.525,0
-0.0007073,0.016683,1,0.0255,-0.48,0.5255,0
-0.00021194,0.017187,1,0.026,-0.48,0.526,0
0.00028335,0.017692,1,0.0265,-0.48,0.5265,0
0.00077871,0.018197,1,0.027,-0.48,0.527,0
0.001274,0.018701,1,0.0275,-0.48,0.5275,0
0.001723,0.019155,1,0.028,-0.48,0.528,0
0.0022792,0.019755,1,0.0285,-0.48,0.5285,0
0.0028734,0.020266,1,0.029,-0.48,0.529,0
0.0034676,0.020777,1,0.0295,-0.48,0.5295,0
0.0040618,0.021288,1,0.03,-0.48,0.53,0
0.004656,0.021799,1,0.0305,-0.48,0.5305,0
0.0052502,0.02231,1,0.031,-0.48,0.531,0
0.0058268,0.022852,1,0.0315,-0.48,0.5315,0
0.0063974,0.023406,1,0.032,-0.48,0.532,0
0.0069997,0.023907,1,0.0325,-0.48,0.5325,0
0.0076019,0.024408,1,0.033,-0.48,0.533,0
0.0082042,0.024909,1,0.0335,-0.48,0.5335,0
0.0088064,0.02541,1,0.034,-0.48,0.534,0
0.0094087,0.02591,1,0.0345,-0.48,0.5345,0
0.0099825,0.026443,1,0.035,-0.48,0.535,0
0.010569,0.026961,1,0.0355,-0.48,0.5355,0
0.011179,0.027452,1,0.036,-0.48,0.536,0
0.01179,0.027942,1,0.0365,-0.48,0.5365,0
0.0124,0.028433,1,0.037,-0.48,0.537,0
0.01301,0.028924,1,0.0375,-0.48,0.5375,0
0.01362,0.029414,1,0.038,-0.48,0.538,0
0.01419,0.02993,1,0.0385,-0.48,0.5385,0
0.014794,0.030419,1,0.039,-0.48,0.539,0
0.015412,0.0309,1,0.0395,-0.48,0.5395,0
0.01603,0.03138,1,0.04,-0.48,0.54,0
0.016648,0.03186,1,0.0405,-0.48,0.5405,0
0.017266,0.032341,1,0.041,-0.48,0.541,0
0.017884,0.032821,1,0.0415,-0.48,0.5415,0
0.018448,0.03331,1,0.042,-0.48,0.542,0
