Velocity_average:0,Points:1
-0.0011467,0.5
-0.004557,0.5005
-0.01222,0.501
-0.019885,0.5015
-0.027548,0.502
-0.035212,0.5025
-0.039424,0.503
-0.048196,0.5035
-0.056968,0.504
-0.065739,0.5045
-0.074512,0.505
-0.079528,0.5055
-0.089414,0.506
-0.099301,0.5065
-0.10919,0.507
-0.11907,0.5075
-0.12585,0.508
-0.13589,0.5085
-0.14689,0.509
-0.15789,0.5095
-0.16889,0.51
-0.17823,0.5105
-0.18762,0.511
-0.19972,0.5115
-0.21183,0.512
-0.22393,0.5125
-0.23611,0.513
-0.22761,0.5135
-0.22003,0.514
-0.21245,0.5145
-0.20487,0.515
-0.19729,0.5155
-0.18963,0.516
-0.18063,0.5165
-0.17243,0.517
-0.16422,0.5175
-0.15601,0.518
-0.1478,0.5185
-0.13948,0.519
-0.12997,0.5195
-0.12114,0.52
-0.11231,0.5205
-0.10347,0.521
-0.094638,0.5215
-0.085653,0.522
-0.075635,0.5225
-0.066174,0.523
-0.056713,0.5235
-0.047253,0.524
-0.037792,0.5245
-0.028158,0.525
-0.017615,0.5255
-0.0075277,0.526
0.0025586,0.5265
0.012646,0.527
0.022732,0.5275
0.031829,0.528
0.043314,0.5285
0.055629,0.529
0.067946,0.5295
0.080261,0.53
0.092578,0.5305
0.10489,0.531
0.11683,0.5315
0.12866,0.532
0.14118,0.5325
0.1537,0.533
0.16622,0.5335
0.17874,0.534
0.19127,0.5345
0.20317,0.535
0.21537,0.5355
0.2281,0.536
0.24083,0.5365
0.25356,0.537
0.26628,0.5375
0.27901,0.538
0.29085,0.5385
0.30346,0.539
0.31639,0.5395
0.32932,0.54
0.34224,0.5405
0.35517,0.541
0.3681,0.5415
0.37984,0.542
0.3929,0.5425
0.40603,0.543
0.41917,0.5435
0.43231,0.544
0.44545,0.5445
0.45859,0.545
0.46735,0.5455
0.47768,0.546
0.48806,0.5465
0.49844,0.547
0.50881,0.5475
0.51919,0.548
0.52957,0.5485
0.53995,0.549
0.54787,0.5495
0.55812,0.55
0.56837,0.5505
0.57863,0.551
0.58888,0.5515
0.59913,0.552
0.60938,0.5525
0.61963,0.553
0.62736,0.5535
0.63748,0.554
0.6476,0.5545
0.65772,0.555
0.66784,0.5555
0.67796,0.556
0.68808,0.5565
0.69799,0.557
0.70574,0.5575
0.71574,0.558
0.72572,0.5585
0.73571,0.559
0.7457,0.5595
0.75569,0.56
0.76568,0.5605
0.77515,0.561
0.78303,0.5615
