Velocity_average:0,Points:1,,Velocity_average:0,Points:1
0.003887,0.5,,0.011751,0.5
0.00036746,0.5005,,0.0082852,0.5005
-0.0073468,0.501,,0.0007386,0.501
-0.015062,0.5015,,-0.006809,0.5015
-0.022776,0.502,,-0.0143556,0.502
-0.030492,0.5025,,-0.021904,0.5025
-0.034816,0.503,,-0.02622,0.503
-0.043642,0.5035,,-0.03496,0.5035
-0.05247,0.504,,-0.0437,0.504
-0.061298,0.5045,,-0.052438,0.5045
-0.070126,0.505,,-0.061178,0.505
-0.075256,0.5055,,-0.066348,0.5055
-0.085202,0.506,,-0.076286,0.506
-0.09515,0.5065,,-0.086224,0.5065
-0.105098,0.507,,-0.096164,0.507
-0.115044,0.5075,,-0.1061,0.5075
-0.121926,0.508,,-0.113056,0.508
-0.132046,0.5085,,-0.12326,0.5085
-0.14311,0.509,,-0.134394,0.509
-0.154172,0.5095,,-0.145528,0.5095
-0.165234,0.51,,-0.15666,0.51
-0.174662,0.5105,,-0.166194,0.5105
-0.184154,0.511,,-0.175864,0.511
-0.19633,0.5115,,-0.188188,0.5115
-0.2085,0.512,,-0.20052,0.512
-0.22068,0.5125,,-0.21284,0.5125
-0.23292,0.513,,-0.2252,0.513
-0.22454,0.5135,,-0.21708,0.5135
-0.21706,0.514,,-0.20986,0.514
-0.20958,0.5145,,-0.20266,0.5145
-0.2021,0.515,,-0.195438,0.515
-0.194614,0.5155,,-0.188224,0.5155
-0.187052,0.516,,-0.180928,0.516
-0.178172,0.5165,,-0.172268,0.5165
-0.170056,0.517,,-0.16438,0.517
-0.161942,0.5175,,-0.156494,0.5175
-0.153826,0.518,,-0.148606,0.518
-0.145712,0.5185,,-0.140718,0.5185
-0.13748,0.519,,-0.13271,0.519
-0.128088,0.5195,,-0.123508,0.5195
-0.119342,0.52,,-0.114948,0.52
-0.110594,0.5205,,-0.106386,0.5205
-0.101848,0.521,,-0.097826,0.521
-0.093102,0.5215,,-0.089266,0.5215
-0.084206,0.522,,-0.080556,0.522
-0.074296,0.5225,,-0.0708,0.5225
-0.064916,0.523,,-0.061566,0.523
-0.055538,0.5235,,-0.052332,0.5235
-0.04616,0.524,,-0.0431,0.524
-0.03678,0.5245,,-0.033866,0.5245
-0.027234,0.525,,-0.024462,0.525
-0.0167932,0.5255,,-0.014146,0.5255
-0.0067824,0.526,,-0.0042388,0.526
0.0032272,0.5265,,0.005667,0.5265
0.013238,0.527,,0.0155742,0.527
0.023248,0.5275,,0.02548,0.5275
0.032298,0.528,,0.03446,0.528
0.04363,0.5285,,0.045584,0.5285
0.055762,0.529,,0.057468,0.529
0.067896,0.5295,,0.069352,0.5295
0.080028,0.53,,0.081236,0.53
0.092162,0.5305,,0.09312,0.5305
0.104296,0.531,,0.105004,0.531
0.11606,0.5315,,0.116536,0.5315
0.127716,0.532,,0.127948,0.532
0.14004,0.5325,,0.139994,0.5325
0.152364,0.533,,0.152038,0.533
0.16469,0.5335,,0.164084,0.5335
0.177014,0.534,,0.176128,0.534
0.189338,0.5345,,0.188174,0.5345
0.20106,0.535,,0.19965,0.535
0.21308,0.5355,,0.21138,0.5355
0.2256,0.536,,0.22358,0.536
0.2381,0.5365,,0.2358,0.5365
0.25062,0.537,,0.248,0.537
0.26314,0.5375,,0.2602,0.5375
0.27566,0.538,,0.2724,0.538
0.28732,0.5385,,0.2838,0.5385
0.2997,0.539,,0.29588,0.539
0.31242,0.5395,,0.30824,0.5395
0.32512,0.54,,0.3206,0.54
0.33782,0.5405,,0.33296,0.5405
0.35052,0.541,,0.34532,0.541
0.36322,0.5415,,0.35768,0.5415
0.37478,0.542,,0.36896,0.542
0.3876,0.5425,,0.38142,0.5425
0.4005,0.543,,0.39394,0.543
0.4134,0.5435,,0.40648,0.5435
0.4263,0.544,,0.419,0.544
0.4392,0.5445,,0.43152,0.5445
0.4521,0.545,,0.44406,0.545
0.46074,0.5455,,0.45252,0.5455
0.47096,0.546,,0.46258,0.546
0.48122,0.5465,,0.47272,0.5465
0.4915,0.547,,0.48284,0.547
0.50176,0.5475,,0.49296,0.5475
0.51202,0.548,,0.50308,0.548
0.5223,0.5485,,0.5132,0.5485
0.53256,0.549,,0.52332,0.549
0.54044,0.5495,,0.53112,0.5495
0.55058,0.55,,0.54112,0.55
0.56072,0.5505,,0.55114,0.5505
0.57086,0.551,,0.56114,0.551
0.581,0.5515,,0.57114,0.5515
0.59114,0.552,,0.58114,0.552
0.6013,0.5525,,0.59114,0.5525
0.61144,0.553,,0.60114,0.553
0.61912,0.5535,,0.60876,0.5535
0.62912,0.554,,0.61864,0.554
0.63914,0.5545,,0.62852,0.5545
0.64916,0.555,,0.6384,0.555
0.65916,0.5555,,0.64828,0.5555
0.66918,0.556,,0.65816,0.556
0.6792,0.5565,,0.66804,0.5565
0.689,0.557,,0.67774,0.557
0.6967,0.5575,,0.68536,0.5575
0.70658,0.558,,0.69512,0.558
0.71648,0.5585,,0.70488,0.5585
0.72636,0.559,,0.71464,0.559
0.73624,0.5595,,0.7244,0.5595
0.74614,0.56,,0.73416,0.56
0.75602,0.5605,,0.74392,0.5605
0.7654,0.561,,0.75318,0.561
0.77322,0.5615,,0.76094,0.5615
0.78298,0.562,,0.77058,0.562
0.79274,0.5625,,0.78022,0.5625
