Velocity_average:0,Points:1,,Velocity_average:-0.36,Points:1,,Velocity_average:-0.24,Points:1,,Velocity_average:0,Points:1,First 77
0.0038854,0.5,,0.0051394,0.5,,0.0048444,0.5,,0.0128132,0.5,
-0.016637937,0.50050002,,0.0176112,0.5005,,-0.005995,0.5005,,0.026938,0.5005,
-0.037158828,0.50099999,,0.029866,0.501,,-0.0166266,0.501,,0.040766,0.501,
-0.057682166,0.50150001,,0.042122,0.5015,,-0.026998,0.5015,,0.054594,0.5015,
-0.061361924,0.50199997,,0.054376,0.502,,-0.037368,0.502,,0.068422,0.502,
-0.073323068,0.5025,,0.061918,0.5025,,-0.045734,0.5025,,0.077978,0.5025,
-0.090471198,0.50300002,,0.067038,0.503,,-0.05307,0.503,,0.085268,0.503,
-0.107617276,0.50349998,,0.072156,0.5035,,-0.06008,0.5035,,0.092558,0.5035,
-0.118858926,0.50400001,,0.077276,0.504,,-0.067092,0.504,,0.099848,0.504,
-0.127422642,0.50449997,,0.08056,0.5045,,-0.073366,0.5045,,0.105334,0.5045,
-0.140176248,0.505,,0.080344,0.505,,-0.078196,0.505,,0.107366,0.505,
-0.152929844,0.50550002,,0.08013,0.5055,,-0.082892,0.5055,,0.1094,0.5055,
-0.164984464,0.50599998,,0.079916,0.506,,-0.08755,0.506,,0.111434,0.506,
-0.174553544,0.50650001,,0.07967,0.5065,,-0.092196,0.5065,,0.113432,0.5065,
-0.18187102,0.50700003,,0.075836,0.507,,-0.095388,0.507,,0.111372,0.507,
-0.18918762,0.50749999,,0.072084,0.5075,,-0.09863,0.5075,,0.10942,0.5075,
-0.196505114,0.50800002,,0.06833,0.508,,-0.10193,0.508,,0.107468,0.508,
-0.20701864,0.50849998,,0.064578,0.5085,,-0.105232,0.5085,,0.105516,0.5085,
-0.21110476,0.509,,0.059556,0.509,,-0.107964,0.509,,0.101582,0.509,
-0.21195126,0.50950003,,0.054064,0.5095,,-0.110486,0.5095,,0.096918,0.5095,
-0.21279768,0.50999999,,0.04857,0.51,,-0.11343,0.51,,0.092256,0.51,
-0.21899292,0.51050001,,0.043078,0.5105,,-0.116374,0.5105,,0.087594,0.5105,
-0.22345176,0.51099998,,0.037562,0.511,,-0.119214,0.511,,0.082308,0.511,
-0.21679626,0.5115,,0.032128,0.5115,,-0.121858,0.5115,,0.076212,0.5115,
-0.21014078,0.51200002,,0.026694,0.512,,-0.125244,0.512,,0.070116,0.512,
-0.20684746,0.51249999,,0.021262,0.5125,,-0.128828,0.5125,,0.06402,0.5125,
-0.21456082,0.51300001,,0.0157862,0.513,,-0.132462,0.513,,0.05789,0.513,
-0.20410044,0.51349998,,0.0078432,0.5135,,-0.13579,0.5135,,0.050066,0.5135,
-0.193638838,0.514,,-0.000087866,0.514,,-0.139124,0.514,,0.042224,0.514,
-0.183177218,0.51450002,,-0.008019,0.5145,,-0.142478,0.5145,,0.034382,0.5145,
-0.177699272,0.51499999,,-0.0159492,0.515,,-0.14583,0.515,,0.026542,0.515,
-0.178383012,0.51550001,,-0.02389,0.5155,,-0.149214,0.5155,,0.0187068,0.5155,
-0.167415664,0.51599997,,-0.032166,0.516,,-0.15337,0.516,,0.0109004,0.516,
-0.156446994,0.5165,,-0.04046,0.5165,,-0.157556,0.5165,,0.003066,0.5165,
-0.145478342,0.51700002,,-0.048754,0.517,,-0.161834,0.517,,-0.0047686,0.517,
-0.139389252,0.51749998,,-0.057048,0.5175,,-0.16611,0.5175,,-0.0126022,0.5175,
-0.138612306,0.51800001,,-0.065328,0.518,,-0.170412,0.518,,-0.020406,0.518,
-0.127013148,0.51849997,,-0.073624,0.5185,,-0.17511,0.5185,,-0.027918,0.5185,
-0.115412604,0.51899999,,-0.081962,0.519,,-0.179862,0.519,,-0.03547,0.519,
-0.10381206,0.51950002,,-0.0903,0.5195,,-0.184758,0.5195,,-0.04302,0.5195,
-0.096892146,0.51999998,,-0.098638,0.52,,-0.189652,0.52,,-0.05057,0.52,
-0.094426992,0.5205,,-0.106918,0.5205,,-0.194552,0.5205,,-0.05805,0.5205,
-0.082069952,0.52100003,,-0.114918,0.521,,-0.199508,0.521,,-0.064994,0.521,
-0.069714384,0.52149999,,-0.12298,0.5215,,-0.20454,0.5215,,-0.071984,0.5215,
-0.05735734,0.52200001,,-0.131042,0.522,,-0.20974,0.522,,-0.078976,0.522,
-0.049378006,0.52249998,,-0.139102,0.5225,,-0.21494,0.5225,,-0.085968,0.5225,
-0.045006536,0.523,,-0.14704,0.523,,-0.22014,0.523,,-0.092828,0.523,
-0.03176752,0.52350003,,-0.154434,0.5235,,-0.22506,0.5235,,-0.09893,0.5235,
-0.0185300828,0.52399999,,-0.1619,0.524,,-0.23008,0.524,,-0.105086,0.524,
-0.0052910664,0.52450001,,-0.169366,0.5245,,-0.23528,0.5245,,-0.111242,0.5245,
0.003983773,0.52499998,,-0.17683,0.525,,-0.2405,0.525,,-0.117396,0.525,
0.0104739842,0.5255,,-0.184084,0.5255,,-0.24564,0.5255,,-0.123344,0.5255,
0.024719574,0.52600002,,-0.19056,0.526,,-0.25026,0.526,,-0.128332,0.526,
0.038963466,0.52649999,,-0.197108,0.5265,,-0.25496,0.5265,,-0.133374,0.5265,
0.053209052,0.52700001,,-0.20366,0.527,,-0.25988,0.527,,-0.138418,0.527,
0.064023468,0.52749997,,-0.2102,0.5275,,-0.26478,0.5275,,-0.143462,0.5275,
0.072851888,0.528,,-0.21672,0.528,,-0.2698,0.528,,-0.148556,0.528,
0.089355818,0.52850002,,-0.22346,0.5285,,-0.27554,0.5285,,-0.153944,0.5285,
0.105857784,0.52899998,,-0.23024,0.529,,-0.2813,0.529,,-0.15936,0.529,
0.122361714,0.52950001,,-0.237,0.5295,,-0.28722,0.5295,,-0.164776,0.5295,
0.138809244,0.52999997,,-0.24378,0.53,,-0.29314,0.53,,-0.17019,0.53,
0.151177886,0.53049999,,-0.25056,0.5305,,-0.29906,0.5305,,-0.175606,0.5305,
0.165028424,0.53100002,,-0.257,0.531,,-0.30464,0.531,,-0.180774,0.531,
0.181008968,0.53149998,,-0.2631,0.5315,,-0.30972,0.5315,,-0.1856,0.5315,
0.196991414,0.53200001,,-0.26918,0.532,,-0.31484,0.532,,-0.190428,0.532,
0.21297388,0.53250003,,-0.27528,0.5325,,-0.32004,0.5325,,-0.195254,0.5325,
0.22812468,0.53299999,,-0.28138,0.533,,-0.32526,0.533,,-0.20008,0.533,
0.24120346,0.53350002,,-0.28746,0.5335,,-0.33046,0.5335,,-0.2049,0.5335,
0.25590904,0.53399998,,-0.2931,0.534,,-0.33516,0.534,,-0.2094,0.534,
0.27137558,0.5345,,-0.2985,0.5345,,-0.33964,0.5345,,-0.21364,0.5345,
0.28684212,0.53500003,,-0.3039,0.535,,-0.34418,0.535,,-0.21788,0.535,
0.30230682,0.53549999,,-0.3093,0.5355,,-0.34872,0.5355,,-0.22212,0.5355,
0.31682402,0.53600001,,-0.3147,0.536,,-0.35328,0.536,,-0.22638,0.536,
0.33059138,0.53649998,,-0.3201,0.5365,,-0.35784,0.5365,,-0.23062,0.5365,
0.3454741,0.537,,-0.32488,0.537,,-0.36182,0.537,,-0.23442,0.537,
0.3604081,0.53750002,,-0.32956,0.5375,,-0.36576,0.5375,,-0.2381,0.5375,
0.37534028,0.53799999,,-0.33424,0.538,,-0.36972,0.538,,-0.24176,0.538,
0.39027426,0.53850001,,-0.33892,0.5385,,-0.37368,0.5385,,-0.24542,0.5385,
0.40477932,0.53899997,,-0.3436,0.539,,-0.37764,0.539,,-0.2491,0.539,
0.41919642,0.5395,,-0.34826,0.5395,,-0.3815,0.5395,,-0.2528,0.5395,
0.4336024,0.54000002,,-0.35222,0.54,,-0.38498,0.54,,-0.2559,0.54,
0.44800666,0.54049999,,-0.35616,0.5405,,-0.38846,0.5405,,-0.25898,0.5405,
0.46241262,0.54100001,,-0.3601,0.541,,-0.3919,0.541,,-0.26208,0.541,
0.4768848,0.54149997,,-0.36406,0.5415,,-0.39534,0.5415,,-0.26518,0.5415,
0.49193736,0.542,,-0.368,0.542,,-0.39876,0.542,,-0.26826,0.542,
0.50639264,0.54250002,,-0.37178,0.5425,,-0.40202,0.5425,,-0.27132,0.5425,
0.5202537,0.54299998,,-0.37496,0.543,,-0.40512,0.543,,-0.27384,0.543,
0.53411644,0.54350001,,-0.37816,0.5435,,-0.40816,0.5435,,-0.27636,0.5435,
0.54797918,0.54400003,,-0.38134,0.544,,-0.41112,0.544,,-0.27888,0.544,
0.56251358,0.54449999,,-0.38454,0.5445,,-0.41408,0.5445,,-0.2814,0.5445,
0.57815914,0.54500002,,-0.38772,0.545,,-0.41706,0.545,,-0.28392,0.545,
0.59099176,0.54549998,,-0.39022,0.5455,,-0.41984,0.5455,,-0.28618,0.5455,
0.60312028,0.546,,-0.39228,0.546,,-0.42258,0.546,,-0.28816,0.546,
0.61524886,0.54650003,,-0.39434,0.5465,,-0.42516,0.5465,,-0.29016,0.5465,
0.627376,0.54699999,,-0.3964,0.547,,-0.42756,0.547,,-0.29214,0.547,
0.63963064,0.54750001,,-0.39846,0.5475,,-0.42996,0.5475,,-0.29414,0.5475,
0.65570048,0.54799998,,-0.40052,0.548,,-0.43236,0.548,,-0.29612,0.548,
0.6707783,0.5485,,-0.4025,0.5485,,-0.43472,0.5485,,-0.29806,0.5485,
0.68156206,0.54900002,,-0.4038,0.549,,-0.437,0.549,,-0.29958,0.549,
0.69234446,0.54949999,,-0.40508,0.5495,,-0.43926,0.5495,,-0.3011,0.5495,
0.7031282,0.55000001,,-0.40634,0.55,,-0.4413,0.55,,-0.30262,0.55,
0.71391068,0.55049998,,-0.4076,0.5505,,-0.44326,0.5505,,-0.30412,0.5505,
0.72660134,0.551,,-0.40888,0.551,,-0.44524,0.551,,-0.30564,0.551,
0.74166082,0.55150002,,-0.41014,0.5515,,-0.4472,0.5515,,-0.30716,0.5515,
0.75336636,0.55199999,,-0.41094,0.552,,-0.44908,0.552,,-0.30832,0.552,
0.76285712,0.55250001,,-0.41138,0.5525,,-0.4509,0.5525,,-0.3093,0.5525,
0.77234686,0.55299997,,-0.41182,0.553,,-0.45264,0.553,,-0.31028,0.553,
0.7818377,0.5535,,-0.41226,0.5535,,-0.45418,0.5535,,-0.31126,0.5535,
0.79132854,0.55400002,,-0.4127,0.554,,-0.45572,0.554,,-0.31224,0.554,
0.80471388,0.55449998,,-0.41314,0.5545,,-0.45726,0.5545,,-0.31322,0.5545,
0.81864312,0.55500001,,-0.41356,0.555,,-0.4588,0.555,,-0.31418,0.555,
0.82689218,0.55549997,,-0.41312,0.5555,,-0.46014,0.5555,,-0.31446,0.5555,
0.83514222,0.55599999,,-0.4127,0.556,,-0.4615,0.556,,-0.31484,0.556,
0.84339232,0.55650002,,-0.41228,0.5565,,-0.46268,0.5565,,-0.31522,0.5565,
0.85164138,0.55699998,,-0.41186,0.557,,-0.46378,0.557,,-0.3156,0.557,
0.86118124,0.5575,,-0.41144,0.5575,,-0.4649,0.5575,,-0.31598,0.5575,
0.87413914,0.55800003,,-0.41102,0.558,,-0.466,0.558,,-0.31636,0.558,
0.88456004,0.55849999,,-0.41012,0.5585,,-0.467,0.5585,,-0.3163,0.5585,
0.89162112,0.55900002,,-0.4088,0.559,,-0.46788,0.559,,-0.31602,0.559,
0.89868136,0.55949998,,-0.4075,0.5595,,-0.46876,0.5595,,-0.31574,0.5595,
0.90574242,0.56,,-0.40618,0.56,,-0.46942,0.56,,-0.31546,0.56,
0.91280348,0.56050003,,-0.40486,0.5605,,-0.47008,0.5605,,-0.31516,0.5605,
0.92317112,0.56099999,,-0.40356,0.561,,-0.47074,0.561,,-0.31488,0.561,
0.93503982,0.56150001,,-0.40224,0.5615,,-0.4714,0.5615,,-0.3146,0.5615,
0.94188988,0.56199998,,-0.4,0.562,,-0.47184,0.562,,-0.31348,0.562,
0.94781376,0.5625,,-0.39776,0.5625,,-0.47224,0.5625,,-0.31248,0.5625,
0.95373764,0.56300002,,-0.39552,0.563,,-0.47256,0.563,,-0.31148,0.563,
0.95966086,0.56349999,,-0.39328,0.5635,,-0.47278,0.5635,,-0.31046,0.5635,
0.9660773,0.56400001,,-0.39104,0.564,,-0.47298,0.564,,-0.30946,0.564,
0.97682976,0.56449997,,-0.3888,0.5645,,-0.4732,0.5645,,-0.30846,0.5645,
0.9862712,0.565,,-0.38608,0.565,,-0.47324,0.565,,-0.3069,0.565,
0.99029266,0.56550002,,-0.38288,0.5655,,-0.4728,0.5655,,-0.30464,0.5655,
0.99431366,0.56599998,,-0.37972,0.566,,-0.47238,0.566,,-0.30244,0.566,
0.9983351,0.56650001,,-0.37656,0.5665,,-0.47198,0.5665,,-0.30022,0.5665,
1.00235612,0.56699997,,-0.3734,0.567,,-0.47164,0.567,,-0.298,0.567,
1.00637756,0.5675,,-0.37024,0.5675,,-0.4713,0.5675,,-0.29578,0.5675,
1.01425566,0.56800002,,-0.36708,0.568,,-0.47096,0.568,,-0.29358,0.568,
1.0230694,0.56849998,,-0.36394,0.5685,,-0.47062,0.5685,,-0.29136,0.5685,
1.0279125,0.56900001,,-0.3597,0.569,,-0.46968,0.569,,-0.28826,0.569,
1.0309206,0.56950003,,-0.3554,0.5695,,-0.46848,0.5695,,-0.28514,0.5695,
1.0339284,0.56999999,,-0.35108,0.57,,-0.46728,0.57,,-0.28202,0.57,
1.03693656,0.57050002,,-0.34678,0.5705,,-0.4662,0.5705,,-0.2789,0.5705,
1.03994436,0.57099998,,-0.34246,0.571,,-0.46512,0.571,,-0.2758,0.571,
1.04393222,0.5715,,-0.33816,0.5715,,-0.46402,0.5715,,-0.27268,0.5715,
1.05121524,0.57200003,,-0.33384,0.572,,-0.46294,0.572,,-0.26956,0.572,
1.05793566,0.57249999,,-0.32932,0.5725,,-0.46176,0.5725,,-0.26626,0.5725,
1.06001668,0.57300001,,-0.32378,0.573,,-0.45984,0.573,,-0.26214,0.573,
1.06209754,0.57349998,,-0.3184,0.5735,,-0.4579,0.5735,,-0.25818,0.5735,
1.06417858,0.574,,-0.31304,0.574,,-0.456,0.574,,-0.25422,0.574,
1.06625966,0.57450002,,-0.30768,0.5745,,-0.45422,0.5745,,-0.25026,0.5745,
1.06834046,0.57499999,,-0.30232,0.575,,-0.45242,0.575,,-0.24632,0.575,
1.07288406,0.57550001,,-0.29696,0.5755,,-0.45062,0.5755,,-0.24236,0.5755,
1.07872658,0.57599998,,-0.2916,0.576,,-0.44882,0.576,,-0.2384,0.576,
1.08211086,0.5765,,-0.28544,0.5765,,-0.44658,0.5765,,-0.23378,0.5765,
1.08334854,0.57700002,,-0.27912,0.577,,-0.44392,0.577,,-0.22904,0.577,
1.08458616,0.57749999,,-0.27282,0.5775,,-0.44128,0.5775,,-0.22432,0.5775,
1.08582384,0.57800001,,-0.2665,0.578,,-0.43878,0.578,,-0.2196,0.578,
1.08706146,0.57849997,,-0.2602,0.5785,,-0.4363,0.5785,,-0.21486,0.5785,
1.08856112,0.579,,-0.25388,0.579,,-0.43382,0.579,,-0.21014,0.579,
1.09305084,0.57950002,,-0.24758,0.5795,,-0.43134,0.5795,,-0.20542,0.5795,
1.09753996,0.57999998,,-0.24126,0.58,,-0.42886,0.58,,-0.20068,0.58,
1.09817952,0.58050001,,-0.23386,0.5805,,-0.42558,0.5805,,-0.195022,0.5805,
1.09865836,0.58099997,,-0.2267,0.581,,-0.42226,0.581,,-0.189586,0.581,
1.0991373,0.58149999,,-0.21956,0.5815,,-0.41898,0.5815,,-0.184152,0.5815,
1.09961622,0.58200002,,-0.2124,0.582,,-0.41586,0.582,,-0.178718,0.582,
1.10009506,0.58249998,,-0.20524,0.5825,,-0.41272,0.5825,,-0.173282,0.5825,
1.10196456,0.583,,-0.19809,0.583,,-0.4096,0.583,,-0.167848,0.583,
1.10518858,0.58350003,,-0.190936,0.5835,,-0.40646,0.5835,,-0.162412,0.5835,
1.10709236,0.58399999,,-0.183214,0.584,,-0.40302,0.584,,-0.15648,0.584,
1.106897,0.58450001,,-0.175318,0.5845,,-0.39906,0.5845,,-0.150404,0.5845,
1.10670164,0.58499998,,-0.167424,0.585,,-0.3951,0.585,,-0.144328,0.585,
1.10650628,0.5855,,-0.159528,0.5855,,-0.39128,0.5855,,-0.13825,0.5855,
1.10631094,0.58600003,,-0.151634,0.586,,-0.38752,0.586,,-0.132172,0.586,
1.10611558,0.58649999,,-0.14374,0.5865,,-0.38376,0.5865,,-0.126096,0.5865,
1.108011,0.58700001,,-0.135844,0.587,,-0.38002,0.587,,-0.120018,0.587,
1.1100573,0.58749998,,-0.12795,0.5875,,-0.37626,0.5875,,-0.113942,0.5875,
1.11042768,0.588,,-0.118958,0.588,,-0.3717,0.588,,-0.106378,0.588,
1.11038744,0.58850002,,-0.109914,0.5885,,-0.36694,0.5885,,-0.09876,0.5885,
1.11034722,0.58899999,,-0.10087,0.589,,-0.36218,0.589,,-0.091144,0.589,
1.11030706,0.58950001,,-0.091826,0.5895,,-0.3576,0.5895,,-0.083524,0.5895,
1.11026682,0.58999997,,-0.082782,0.59,,-0.35308,0.59,,-0.075908,0.59,
1.11022658,0.5905,,-0.073738,0.5905,,-0.34856,0.5905,,-0.06829,0.5905,
1.1106497,0.59100002,,-0.064692,0.591,,-0.34404,0.591,,-0.060672,0.591,
1.11146622,0.59149998,,-0.05565,0.5915,,-0.33952,0.5915,,-0.053054,0.5915,
1.11220032,0.59200001,,-0.046492,0.592,,-0.33494,0.592,,-0.045312,0.592,
1.1122077,0.59249997,,-0.036762,0.5925,,-0.32968,0.5925,,-0.036922,0.5925,
1.11221508,0.59299999,,-0.02717,0.593,,-0.3244,0.593,,-0.028676,0.593,
1.11222244,0.59350002,,-0.0175768,0.5935,,-0.31914,0.5935,,-0.02043,0.5935,
1.11222982,0.59399998,,-0.0079848,0.594,,-0.31412,0.594,,-0.0121856,0.594,
1.1122372,0.59450001,,0.00160812,0.5945,,-0.30912,0.5945,,-0.0039396,0.5945,
1.11224458,0.59500003,,0.0112012,0.595,,-0.3041,0.595,,0.0043062,0.595,
1.11260422,0.59549999,,0.020792,0.5955,,-0.29908,0.5955,,0.0125512,0.5955,
1.1130356,0.59600002,,0.030386,0.596,,-0.29406,0.596,,0.020798,0.596,
1.11333012,0.59649998,,0.04034,0.5965,,-0.28878,0.5965,,0.02948,0.5965,
1.11341246,0.597,,0.050368,0.597,,-0.28306,0.597,,0.038284,0.597,
1.1134947,0.59750003,,0.060394,0.5975,,-0.27734,0.5975,,0.047088,0.5975,
1.11357696,0.59799999,,0.07042,0.598,,-0.27168,0.598,,0.05589,0.598,
1.1136593,0.59850001,,0.080446,0.5985,,-0.2662,0.5985,,0.064692,0.5985,
1.11374154,0.59899998,,0.090472,0.599,,-0.26072,0.599,,0.073494,0.599,
1.1138279,0.5995,,0.100498,0.5995,,-0.25526,0.5995,,0.082298,0.5995,
1.11394406,0.60000002,,0.110526,0.6,,-0.24978,0.6,,0.091102,0.6,
1.11406014,0.60049999,,0.12055,0.6005,,-0.2443,0.6005,,0.099904,0.6005,
1.114223,0.60100001,,0.130982,0.601,,-0.23838,0.601,,0.109272,0.601,
1.11440762,0.60149997,,0.141328,0.6015,,-0.23224,0.6015,,0.118562,0.6015,
1.11459232,0.602,,0.151674,0.602,,-0.2261,0.602,,0.127852,0.602,
1.11477696,0.60250002,,0.162018,0.6025,,-0.22008,0.6025,,0.137142,0.6025,
1.11496166,0.60299999,,0.172364,0.603,,-0.2142,0.603,,0.14643,0.603,
1.11514628,0.60350001,,0.18271,0.6035,,-0.2083,0.6035,,0.15572,0.6035,
1.1152023,0.60399997,,0.193054,0.604,,-0.2024,0.604,,0.16501,0.604,
1.11507356,0.6045,,0.2034,0.6045,,-0.19651,0.6045,,0.1743,0.6045,
1.11494482,0.60500002,,0.21374,0.605,,-0.190614,0.605,,0.18359,0.605,
1.11524664,0.60549998,,0.22446,0.6055,,-0.184116,0.6055,,0.193528,0.6055,
1.11556098,0.60600001,,0.23502,0.606,,-0.177602,0.606,,0.20324,0.606,
1.11587524,0.60650003,,0.24556,0.6065,,-0.171086,0.6065,,0.21294,0.6065,
1.11618944,0.60699999,,0.25612,0.607,,-0.16477,0.607,,0.22264,0.607,
1.11650378,0.60750002,,0.26666,0.6075,,-0.158492,0.6075,,0.23236,0.6075,
1.11681796,0.60799998,,0.27722,0.608,,-0.152214,0.608,,0.24206,0.608,
1.11669912,0.6085,,0.28776,0.6085,,-0.145936,0.6085,,0.25176,0.6085,
1.1163953,0.60900003,,0.29832,0.609,,-0.139658,0.609,,0.26148,0.609,
1.11629456,0.60949999,,0.30902,0.6095,,-0.13323,0.6095,,0.27146,0.6095,
1.11676574,0.61000001,,0.3197,0.61,,-0.126384,0.61,,0.28158,0.61,
1.11723684,0.61049998,,0.33034,0.6105,,-0.119538,0.6105,,0.29162,0.6105,
1.11770802,0.611,,0.34098,0.611,,-0.112718,0.611,,0.30168,0.611,
1.11817918,0.61150002,,0.35162,0.6115,,-0.106096,0.6115,,0.31172,0.6115,
1.11865036,0.61199999,,0.36224,0.612,,-0.099474,0.612,,0.32178,0.612,
1.11912154,0.61250001,,0.37288,0.6125,,-0.09285,0.6125,,0.33184,0.6125,
1.11872122,0.61299998,,0.38352,0.613,,-0.086228,0.613,,0.34188,0.613,
1.1183127,0.6135,,0.39416,0.6135,,-0.079606,0.6135,,0.35194,0.6135,
1.1183069,0.61400002,,0.40572,0.614,,-0.0728,0.614,,0.36308,0.614,
1.11922816,0.61449999,,0.41774,0.6145,,-0.065838,0.6145,,0.37486,0.6145,
1.12014956,0.61500001,,0.42976,0.615,,-0.058874,0.615,,0.38666,0.615,
1.12107084,0.61549997,,0.44176,0.6155,,-0.05191,0.6155,,0.39846,0.6155,
1.12199224,0.616,,0.45378,0.616,,-0.04495,0.616,,0.41024,0.616,
1.12291366,0.61650002,,0.46578,0.6165,,-0.037988,0.6165,,0.42204,0.6165,
1.123835,0.61699998,,0.4778,0.617,,-0.031028,0.617,,0.43384,0.617,
1.12453892,0.61750001,,0.4898,0.6175,,-0.024068,0.6175,,0.44562,0.6175,
1.1248187,0.61799997,,0.50182,0.618,,-0.0171082,0.618,,0.45742,0.618,
1.12509846,0.61849999,,0.51382,0.6185,,-0.0101474,0.6185,,0.46922,0.6185,
1.1256373,0.61900002,,0.52588,0.619,,-0.0030034,0.619,,0.48116,0.619,
1.1264021,0.61949998,,0.53766,0.6195,,0.0042994,0.6195,,0.49286,0.6195,
1.12716698,0.62,,0.54946,0.62,,0.0116032,0.62,,0.50458,0.62,
1.12793184,0.62050003,,0.56124,0.6205,,0.0189068,0.6205,,0.5163,0.6205,
1.12869666,0.62099999,,0.57302,0.621,,0.026172,0.621,,0.52802,0.621,
