Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
-9.9806899E-19,9.9806899E-19,-9.9967403E-19,-9.9967403E-19,0,0
-9.9729403E-19,-0.0393201,-9.9967403E-19,0.039269902,0,0
-9.9498899E-19,-0.078489199,-9.9967403E-19,0.078539804,0,0
-9.9115397E-19,-0.117507,-9.9967403E-19,0.11781,0,0
-9.8578805E-19,-0.15637399,-9.9967403E-19,0.15707999,0,0
-9.7889102E-19,-0.19509,-9.9967403E-19,0.19634999,0,0
-9.7047497E-19,-0.233504,-9.9967403E-19,0.23561899,0,0
-9.6058799E-19,-0.271469,-9.9967403E-19,0.27488899,0,0
-9.4922904E-19,-0.308988,-9.9967403E-19,0.31415901,0,0
-9.3639803E-19,-0.34605899,-9.9967403E-19,0.35342899,0,0
-9.2209504E-19,-0.38268301,-9.9967403E-19,0.392699,0,0
-9.0636196E-19,-0.41871399,-9.9967403E-19,0.43196899,0,0
-8.8927199E-19,-0.45401701,-9.9967403E-19,0.471239,0,0
-8.7082504E-19,-0.48859501,-9.9967403E-19,0.51050901,0,0
-8.5102301E-19,-0.52244598,-9.9967403E-19,0.549779,0,0
-8.2986399E-19,-0.55557001,-9.9967403E-19,0.58904898,0,0
-8.0741699E-19,-0.58783299,-9.9967403E-19,0.62831903,0,0
-7.8378098E-19,-0.61911702,-9.9967403E-19,0.667588,0,0
-7.5895698E-19,-0.64942503,-9.9967403E-19,0.70685798,0,0
-7.3294298E-19,-0.67875499,-9.9967403E-19,0.74612802,0,0
-7.0574099E-19,-0.70710701,-9.9967403E-19,0.78539801,0,0
-6.7744402E-19,-0.73436201,-9.9967403E-19,0.82466799,0,0
-6.4817102E-19,-0.76042497,-9.9967403E-19,0.86393797,0,0
-6.1792201E-19,-0.78529799,-9.9967403E-19,0.90320802,0,0
-5.8669698E-19,-0.80897897,-9.9967403E-19,0.942478,0,0
-5.5449701E-19,-0.83147001,-9.9967403E-19,0.98174798,0,0
-5.2143698E-19,-0.852669,-9.9967403E-19,1.0210201,0,0
-4.8765099E-19,-0.87251002,-9.9967403E-19,1.06029,0,0
-4.5313998E-19,-0.89099199,-9.9967403E-19,1.09956,0,0
-4.1790501E-19,-0.90811503,-9.9967403E-19,1.1388299,0,0
-3.81944E-19,-0.92387998,-9.9967403E-19,1.1781,0,0
-3.45391E-19,-0.93821001,-9.9967403E-19,1.21737,0,0
-3.08391E-19,-0.951065,-9.9967403E-19,1.25664,0,0
-2.70945E-19,-0.96244699,-9.9967403E-19,1.29591,0,0
-2.3305299E-19,-0.97235298,-9.9967403E-19,1.33518,0,0
-1.94714E-19,-0.98078501,-9.9967403E-19,1.37445,0,0
-1.56072E-19,-0.98769498,-9.9967403E-19,1.41372,0,0
-1.1727999E-19,-0.99307197,-9.9967403E-19,1.4529901,0,0
-7.8337597E-20,-0.99691498,-9.9967403E-19,1.49226,0,0
-3.9244201E-20,-0.99922401,-9.9967403E-19,1.53153,0,0
1.03211E-31,-1,-9.9967403E-19,1.5707999,0,0
3.9244201E-20,-0.99922401,-9.9967403E-19,1.61007,0,0
7.8337597E-20,-0.99691498,-9.9967403E-19,1.64934,0,0
1.1727999E-19,-0.99307197,-9.9967403E-19,1.68861,0,0
1.56072E-19,-0.98769498,-9.9967403E-19,1.72788,0,0
1.94714E-19,-0.98078501,-9.9967403E-19,1.76715,0,0
2.3305299E-19,-0.97235298,-9.9967403E-19,1.80642,0,0
2.70945E-19,-0.96244699,-9.9967403E-19,1.84569,0,0
3.08391E-19,-0.951065,-9.9967403E-19,1.8849601,0,0
3.45391E-19,-0.93821001,-9.9967403E-19,1.92423,0,0
3.81944E-19,-0.92387998,-9.9967403E-19,1.9635,0,0
4.1790501E-19,-0.90811503,-9.9967403E-19,2.0027699,0,0
4.5313998E-19,-0.89099199,-9.9967403E-19,2.0420401,0,0
4.8765099E-19,-0.87251002,-9.9967403E-19,2.08131,0,0
5.2143698E-19,-0.852669,-9.9967403E-19,2.12058,0,0
5.5449701E-19,-0.83147001,-9.9967403E-19,2.1598401,0,0
5.8669698E-19,-0.80897897,-9.9967403E-19,2.19911,0,0
6.1792201E-19,-0.78529799,-9.9967403E-19,2.23838,0,0
6.4817102E-19,-0.76042497,-9.9967403E-19,2.2776501,0,0
6.7744402E-19,-0.73436201,-9.9967403E-19,2.31692,0,0
7.0574099E-19,-0.70710701,-9.9967403E-19,2.35619,0,0
7.3294298E-19,-0.67875499,-9.9967403E-19,2.3954599,0,0
7.5895698E-19,-0.64942503,-9.9967403E-19,2.4347301,0,0
