"Density","Pressure","Velocity:0","Velocity:1","Vorticity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00298,100.298,6.7603978e-05,1.0847789e-05,0.0041576223,1,0,0,3.1415927,0
1.002978,100.29779,-0.0058806976,9.8621458e-06,0.0036968784,1,0.0062831896,0.0062831896,3.1415927,0
1.0029758,100.29758,-0.011829007,8.8808456e-06,0.0032362489,1,0.012566379,0.012566379,3.1415927,0
1.0029738,100.29737,-0.017777316,7.8995463e-06,0.0027756195,1,0.018849568,0.018849568,3.1415927,0
1.0029716,100.29716,-0.023725627,6.9182465e-06,0.0023149899,1,0.025132759,0.025132759,3.1415927,0
1.0029696,100.29696,-0.029673938,5.9369468e-06,0.0018543601,1,0.031415951,0.031415951,3.1415927,0
1.0029675,100.29675,-0.035622247,4.9556475e-06,0.0013937309,1,0.037699137,0.037699137,3.1415927,0
1.0029655,100.29654,-0.041570555,3.9743477e-06,0.00093310128,1,0.043982327,0.043982327,3.1415927,0
1.0029633,100.29633,-0.047518864,2.9930482e-06,0.00047247173,1,0.050265517,0.050265517,3.1415927,0
1.0029613,100.29613,-0.053467177,2.0117484e-06,1.1842144e-05,1,0.056548707,0.056548707,3.1415927,0
1.0029584,100.29584,-0.059404906,1.4880587e-06,-0.00025593114,1,0.062831901,0.062831901,3.1415927,0
1.0029542,100.29543,-0.065325715,1.7343159e-06,-0.0002142911,1,0.069115087,0.069115087,3.1415927,0
1.0029501,100.29501,-0.07124652,1.9805732e-06,-0.00017265105,1,0.075398274,0.075398274,3.1415927,0
1.0029459,100.29459,-0.077167332,2.2268307e-06,-0.00013101097,1,0.081681468,0.081681468,3.1415927,0
1.0029417,100.29417,-0.083088145,2.4730878e-06,-8.9370922e-05,1,0.087964654,0.087964654,3.1415927,0
1.0029376,100.29376,-0.089008957,2.7193453e-06,-4.7730831e-05,1,0.094247848,0.094247848,3.1415927,0
1.0029335,100.29334,-0.094929762,2.9656026e-06,-6.0907905e-06,1,0.10053103,0.10053103,3.1415927,0
1.0029293,100.29293,-0.10085057,3.2118601e-06,3.5549299e-05,1,0.10681423,0.10681423,3.1415927,0
1.0029252,100.29251,-0.10677138,3.4581174e-06,7.7189339e-05,1,0.11309741,0.11309741,3.1415927,0
1.002921,100.2921,-0.11269219,3.7043749e-06,0.00011882943,1,0.11938061,0.11938061,3.1415927,0
1.0029144,100.29144,-0.11858368,3.6267393e-06,0.00011405349,1,0.1256638,0.1256638,3.1415927,0
1.0029072,100.29071,-0.12446636,3.4830759e-06,9.575345e-05,1,0.13194698,0.13194698,3.1415927,0
1.0028999,100.28999,-0.13034905,3.3394124e-06,7.7453369e-05,1,0.13823017,0.13823017,3.1415927,0
1.0028926,100.28926,-0.13623175,3.1957486e-06,5.9153284e-05,1,0.14451337,0.14451337,3.1415927,0
1.0028853,100.28853,-0.14211443,3.0520853e-06,4.0853247e-05,1,0.15079655,0.15079655,3.1415927,0
1.0028781,100.2878,-0.14799713,2.9084215e-06,2.2553164e-05,1,0.15707974,0.15707974,3.1415927,0
1.0028708,100.28707,-0.15387982,2.7647579e-06,4.2530805e-06,1,0.16336294,0.16336294,3.1415927,0
1.0028635,100.28635,-0.15976252,2.6210942e-06,-1.4047003e-05,1,0.16964613,0.16964613,3.1415927,0
1.0028563,100.28562,-0.1656452,2.4774308e-06,-3.2347041e-05,1,0.17592931,0.17592931,3.1415927,0
1.0028486,100.28486,-0.17151889,2.3144705e-06,-4.5590685e-05,1,0.1822125,0.1822125,3.1415927,0
1.0028392,100.28392,-0.17734313,2.2626411e-06,-2.8971675e-05,1,0.1884957,0.1884957,3.1415927,0
1.0028299,100.28299,-0.18316737,2.2108118e-06,-1.2352667e-05,1,0.19477889,0.19477889,3.1415927,0
1.0028205,100.28205,-0.18899159,2.1589826e-06,4.2663023e-06,1,0.20106207,0.20106207,3.1415927,0
1.0028112,100.28111,-0.19481583,2.1071533e-06,2.0885311e-05,1,0.20734526,0.20734526,3.1415927,0
1.0028018,100.28018,-0.20064007,2.0553241e-06,3.750432e-05,1,0.21362846,0.21362846,3.1415927,0
1.0027925,100.27924,-0.20646429,2.003495e-06,5.4123288e-05,1,0.21991163,0.21991163,3.1415927,0
1.0027831,100.27831,-0.21228853,1.9516656e-06,7.0742295e-05,1,0.22619483,0.22619483,3.1415927,0
1.0027738,100.27737,-0.21811277,1.8998362e-06,8.7361303e-05,1,0.23247802,0.23247802,3.1415927,0
1.0027643,100.27644,-0.223937,1.8480069e-06,0.00010398032,1,0.23876122,0.23876122,3.1415927,0
1.0027534,100.27533,-0.22971991,1.8567723e-06,0.00010112859,1,0.2450444,0.2450444,3.1415927,0
1.0027409,100.27408,-0.2354674,1.9970119e-06,8.2136088e-05,1,0.2513276,0.2513276,3.1415927,0
1.0027283,100.27283,-0.24121486,2.1372502e-06,6.3143721e-05,1,0.25761077,0.25761077,3.1415927,0
1.0027158,100.27158,-0.24696234,2.2774893e-06,4.4151271e-05,1,0.26389396,0.26389396,3.1415927,0
1.0027034,100.27034,-0.25270984,2.4177284e-06,2.5158819e-05,1,0.27017716,0.27017716,3.1415927,0
1.0026909,100.26909,-0.2584573,2.5579675e-06,6.1663659e-06,1,0.27646035,0.27646035,3.1415927,0
1.0026784,100.26784,-0.2642048,2.6982066e-06,-1.2826086e-05,1,0.28274354,0.28274354,3.1415927,0
1.002666,100.26659,-0.2699523,2.8384459e-06,-3.1818538e-05,1,0.28902674,0.28902674,3.1415927,0
1.0026535,100.26534,-0.27569976,2.978685e-06,-5.0810992e-05,1,0.29530993,0.29530993,3.1415927,0
1.002641,100.2641,-0.28144723,3.1189234e-06,-6.9803355e-05,1,0.3015931,0.3015931,3.1415927,0
1.0026265,100.26266,-0.28710562,3.0969322e-06,-8.4083862e-05,1,0.30787629,0.30787629,3.1415927,0
1.002612,100.2612,-0.29275659,3.1176751e-06,-9.7656994e-05,1,0.31415948,0.31415948,3.1415927,0
1.0025975,100.25974,-0.29840755,3.1384179e-06,-0.00011123013,1,0.32044268,0.32044268,3.1415927,0
1.0025829,100.25829,-0.30405855,3.159161e-06,-0.00012480326,1,0.32672587,0.32672587,3.1415927,0
1.0025684,100.25683,-0.30970952,3.1799038e-06,-0.00013837639,1,0.33300906,0.33300906,3.1415927,0
1.0025538,100.25538,-0.31536049,3.2006467e-06,-0.00015194953,1,0.33929226,0.33929226,3.1415927,0
1.0025393,100.25392,-0.32101145,3.2213898e-06,-0.00016552267,1,0.34557545,0.34557545,3.1415927,0
1.0025247,100.25246,-0.32666242,3.2421324e-06,-0.00017909573,1,0.35185862,0.35185862,3.1415927,0
1.0025102,100.25101,-0.33231339,3.2628755e-06,-0.00019266887,1,0.35814181,0.35814181,3.1415927,0
1.0024953,100.24952,-0.33792871,3.1706127e-06,-0.00018899213,1,0.364425,0.364425,3.1415927,0
1.0024797,100.24796,-0.34346384,3.0215863e-06,-0.00014551968,1,0.3707082,0.3707082,3.1415927,0
1.0024641,100.2464,-0.34899896,2.8725601e-06,-0.00010204721,1,0.37699139,0.37699139,3.1415927,0
1.0024484,100.24484,-0.35453409,2.723534e-06,-5.8574748e-05,1,0.38327459,0.38327459,3.1415927,0
1.0024328,100.24328,-0.36006922,2.5745078e-06,-1.5102287e-05,1,0.38955778,0.38955778,3.1415927,0
1.0024172,100.24172,-0.36560434,2.4254823e-06,2.8369968e-05,1,0.39584094,0.39584094,3.1415927,0
1.0024016,100.24016,-0.37113947,2.2764559e-06,7.1842427e-05,1,0.40212414,0.40212414,3.1415927,0
1.002386,100.2386,-0.37667459,2.1274298e-06,0.00011531489,1,0.40840733,0.40840733,3.1415927,0
1.0023704,100.23704,-0.38220972,1.9784036e-06,0.00015878736,1,0.41469052,0.41469052,3.1415927,0
1.0023547,100.23548,-0.38774484,1.8293773e-06,0.00020225982,1,0.42097372,0.42097372,3.1415927,0
1.0023384,100.23385,-0.39318809,1.701567e-06,0.00022379293,1,0.42725691,0.42725691,3.1415927,0
1.0023218,100.23219,-0.39859051,1.6835479e-06,0.00023599033,1,0.43354011,0.43354011,3.1415927,0
1.0023052,100.23052,-0.40399289,1.665529e-06,0.00024818766,1,0.43982327,0.43982327,3.1415927,0
1.0022886,100.22886,-0.40939531,1.64751e-06,0.00026038507,1,0.44610646,0.44610646,3.1415927,0
1.0022719,100.2272,-0.41479772,1.629491e-06,0.00027258246,1,0.45238966,0.45238966,3.1415927,0
1.0022553,100.22553,-0.42020014,1.6114719e-06,0.00028477985,1,0.45867285,0.45867285,3.1415927,0
1.0022386,100.22386,-0.42560256,1.5934529e-06,0.00029697723,1,0.46495605,0.46495605,3.1415927,0
1.0022219,100.2222,-0.43100497,1.5754339e-06,0.00030917465,1,0.47123924,0.47123924,3.1415927,0
1.0022054,100.22054,-0.43640739,1.5574147e-06,0.00032137203,1,0.47752243,0.47752243,3.1415927,0
1.0021886,100.21886,-0.44179824,1.4776316e-06,0.00032653176,1,0.48380563,0.48380563,3.1415927,0
1.0021698,100.21699,-0.44705057,1.6701949e-06,0.00025040653,1,0.49008879,0.49008879,3.1415927,0
1.0021511,100.21511,-0.4523029,1.8627592e-06,0.00017428093,1,0.49637198,0.49637198,3.1415927,0
1.0021324,100.21324,-0.45755526,2.0553243e-06,9.8154967e-05,1,0.50265521,0.50265521,3.1415927,0
1.0021137,100.21136,-0.46280757,2.2478876e-06,2.2029726e-05,1,0.50893837,0.50893837,3.1415927,0
1.002095,100.2095,-0.4680599,2.4404508e-06,-5.4095515e-05,1,0.51522154,0.51522154,3.1415927,0
1.0020763,100.20762,-0.47331226,2.633016e-06,-0.00013022148,1,0.52150476,0.52150476,3.1415927,0
