Density,Pressure,Velocity:0,Velocity:1,Vorticity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.00298,100.298,-0.000002718615,-0.000000014541979,0.000015283338,1,0,3.1415927,1.8752701E-17,0
1.0029782,100.29782,-0.0000027010801,0.0064578056,0.000011317359,1,0.0062831896,3.1415927,0.0062831896,0
1.0029764,100.29765,-0.0000026900716,0.012915633,0.0000077207333,1,0.012566379,3.1415927,0.012566379,0
1.0029747,100.29747,-0.0000026790631,0.01937346,0.0000041241074,1,0.018849568,3.1415927,0.018849568,0
1.002973,100.29729,-0.0000026680545,0.025831288,0.00000052748157,1,0.025132759,3.1415927,0.025132759,0
1.0029712,100.29712,-0.000002657046,0.032289118,-0.0000030691456,1,0.031415951,3.1415927,0.031415951,0
1.0029694,100.29694,-0.0000026460373,0.038746942,-0.0000066657694,1,0.037699137,3.1415927,0.037699137,0
1.0029677,100.29677,-0.0000026350287,0.045204766,-0.000010262395,1,0.043982327,3.1415927,0.043982327,0
1.0029659,100.29659,-0.0000026240202,0.051662594,-0.000013859021,1,0.050265517,3.1415927,0.050265517,0
1.0029641,100.29641,-0.0000026130117,0.058120422,-0.000017455648,1,0.056548707,3.1415927,0.056548707,0
1.0029624,100.29623,-0.0000026020032,0.064578258,-0.000021052276,1,0.062831901,3.1415927,0.062831901,0
1.0029606,100.29606,-0.0000025909947,0.071036078,-0.0000246489,1,0.069115087,3.1415927,0.069115087,0
1.002956,100.29561,-0.0000025617742,0.077471495,-0.000026992686,1,0.075398274,3.1415927,0.075398274,0
1.0029498,100.29499,-0.0000025528943,0.083894119,-0.000028040937,1,0.081681468,3.1415927,0.081681468,0
1.0029438,100.29437,-0.0000025440145,0.090316743,-0.000029089188,1,0.087964654,3.1415927,0.087964654,0
1.0029376,100.29376,-0.0000025351346,0.096739374,-0.00003013744,1,0.094247848,3.1415927,0.094247848,0
1.0029314,100.29314,-0.0000025262548,0.10316199,-0.000031185689,1,0.10053103,3.1415927,0.10053103,0
1.0029253,100.29253,-0.0000025173749,0.10958462,-0.000032233944,1,0.10681423,3.1415927,0.10681423,0
1.0029191,100.29191,-0.0000025084951,0.11600724,-0.000033282195,1,0.11309741,3.1415927,0.11309741,0
1.002913,100.2913,-0.0000024996152,0.12242987,-0.000034330445,1,0.11938061,3.1415927,0.11938061,0
1.0029068,100.29068,-0.0000024907356,0.1288525,-0.000035378696,1,0.1256638,3.1415927,0.1256638,0
1.0029006,100.29006,-0.0000024818557,0.13527511,-0.000036426947,1,0.13194698,3.1415927,0.13194698,0
1.0028945,100.28945,-0.0000024729759,0.14169773,-0.000037475198,1,0.13823017,3.1415927,0.13823017,0
1.0028876,100.28876,-0.0000024368708,0.14810123,-0.00003855726,1,0.14451337,3.1415927,0.14451337,0
1.0028788,100.28788,-0.0000024474166,0.15445367,-0.000038389353,1,0.15079655,3.1415927,0.15079655,0
1.00287,100.287,-0.0000024579626,0.16080612,-0.000038221446,1,0.15707974,3.1415927,0.15707974,0
1.0028611,100.28612,-0.0000024685085,0.16715856,-0.000038053542,1,0.16336294,3.1415927,0.16336294,0
1.0028524,100.28524,-0.0000024790545,0.17351101,-0.000037885635,1,0.16964613,3.1415927,0.16964613,0
1.0028436,100.28436,-0.0000024896003,0.17986345,-0.000037717728,1,0.17592931,3.1415927,0.17592931,0
1.0028348,100.28348,-0.0000025001461,0.18621591,-0.000037549824,1,0.1822125,3.1415927,0.1822125,0
1.002826,100.2826,-0.0000025106922,0.19256836,-0.000037381917,1,0.1884957,3.1415927,0.1884957,0
1.0028172,100.28172,-0.000002521238,0.1989208,-0.000037214009,1,0.19477889,3.1415927,0.19477889,0
1.0028083,100.28084,-0.000002531784,0.20527324,-0.000037046106,1,0.20106207,3.1415927,0.20106207,0
1.0027996,100.27996,-0.0000025423299,0.2116257,-0.000036878198,1,0.20734526,3.1415927,0.20734526,0
