Ref1: Simulation of the Taylor–Green Vortex Using High-Order Flux Reconstruction Schemes,,,"Ref 2: 1st International Workshop on High-Order CFD Methods, url: https://cfd.ku.edu/hiocfd.html",,,,,"Ne=8^3, N=4, SARK4 ",,,"Ne=16^3, N=4, SARK4 ",,,"Ne=24^3, N=4, SARK4 ",,,"Ne=8^3, N=4, SARK4 ",,,,,,"Ne=16^3, N=4, SARK4 ",,,,,,"Ne=24^3, N=4, SARK4 ",,,,,,"Ne=8^3, N=4, SARK4 ",,,,,,"Ne=16^3, N=4, SARK4 ",,,,"Ne=24^3, N=4, SARK4 ",,,,"Ne=8^3, N=4, SARK4 with density",,,,"Ne=32^3, N=4, SARK4 with density",,,,,,,,
Ek,t*,,Ek,t*,Dissipation Rate,Enstrophy,,Ek,t*,,Ek,t*,,Ek,t*,,Ek,t*,,DE/DT,t*,,Ek,t*,,DE/DT,t*,,Ek,t*,,DE/DT,t*,,t*,KE,Dissipation Rate,Enstrophy,,,t*,KE,Enstrophy,,t*,KE,Enstrophy,,t*,KE,Enstrophy,,t*,KE,Enstrophy,Dissipation Rate,,,,,
0.125056945934438,0.0413006768415292,,0,0.125,0.00046874284,0.375,,0.125,0,,0.125,0,,0.125,0,,0,0.125,,0,0,,0,0.125,,0,0,,0,0.125,,0,0,,0,0.125,0,0.375,,,0,0.125,0.375,,0,0.125,0.375,,0,0.125,0.375,,0,0.125,0.375,0,,0,0.125,0.375,0
0.124625607849564,1.03075004716265,,0.01,0.124995312572,0.00046873893,0.374989843653,,0.124455,1,,0.124455,1,,0.124455,1,,0.01,0.124995,,0.01,0.0005000000000005,,0.01,0.124995,,0.01,0.0005000000000005,,0.01,0.124995,,0.01,0.0005000000000005,,0.1,0.12476,0.00240000000000004,0.374474,,,0.01,0.124995,0.374978,,0.01,0.124995,0.374978,,0.01,0.124995,0.374969,,0.01,0.124995,0.374969,0.0005000000000005,,0.5,0.1245,0.382699,0.001
0.124303144872686,1.53885370517911,,0.02,0.124990625221,0.000468736,0.374987498403,,0.123717,2,,0.123721,2,,0.123722,2,,0.02,0.12499,,0.02,0.000499999999999112,,0.02,0.12499,,0.02,0.000499999999999112,,0.02,0.12499,,0.02,0.000499999999999112,,0.2,0.124696,0.000639999999999946,0.375502,,,0.02,0.12499,0.374941,,0.02,0.12499,0.374941,,0.02,0.12499,0.374904,,0.02,0.12499,0.374905,0.000499999999999112,,1,0.124461,0.41436,0.0000779999999999947
0.123980444047401,2.10043927627544,,0.03,0.124985937852,0.000468742835,0.374992962973,,0.122725,3,,0.122753,3,,0.122756,3,,0.03,0.124982,,0.03,0.0008000000000008,,0.03,0.124982,,0.03,0.0008000000000008,,0.03,0.124982,,0.03,0.0008000000000008,,0.3,0.124833,-0.00136999999999998,0.377979,,,0.03,0.124982,0.374891,,0.03,0.124982,0.374891,,0.03,0.124982,0.37481,,0.03,0.124982,0.37481,0.0008000000000008,,1.5,0.124199,0.472129,0.000523999999999997
0.123551246598184,2.60855142887784,,0.04,0.124981250365,0.000468759425,0.375006236792,,0.121224,4,,0.121411,4,,0.121438,4,,0.04,0.124971,,0.04,0.00109999999999971,,0.04,0.124971,,0.04,0.00109999999999971,,0.04,0.124971,,0.04,0.00109999999999971,,0.4,0.124709,0.00123999999999999,0.380165,,,0.04,0.124971,0.374831,,0.04,0.124971,0.374831,,0.04,0.124971,0.374691,,0.04,0.124971,0.374691,0.00109999999999971,,2,0.123768,0.565013,0.000862000000000002
0.123122286997373,3.06318166840039,,0.05,0.124976562663,0.000468785775,0.375027319999,,0.117332,5,,0.118134,5,,0.118325,5,,0.05,0.124953,,0.05,0.00180000000000041,,0.05,0.124953,,0.05,0.00180000000000041,,0.05,0.124953,,0.05,0.00180000000000041,,0.5,0.124492,0.00216999999999995,0.383289,,,0.05,0.124953,0.374763,,0.05,0.124953,0.374763,,0.05,0.124953,0.374553,,0.05,0.124953,0.374554,0.00180000000000041,,2.5,0.123499,0.703225,0.000538000000000011
0.122586711848425,3.49107944596895,,0.06,0.124971874649,0.000468821895,0.37505621344,,0.109001,6,,0.112571,6,,0.113191,6,,0.06,0.124928,,0.06,0.00249999999999973,,0.06,0.124928,,0.06,0.00249999999999973,,0.06,0.124928,,0.06,0.00249999999999973,,0.6,0.1247,-0.00208,0.388313,,,0.06,0.124928,0.374692,,0.06,0.124928,0.374692,,0.06,0.124928,0.374405,,0.06,0.124928,0.374406,0.00249999999999973,,3,0.122828,0.899495,0.00134199999999998
0.121516869716766,4.05272447916685,,0.07,0.124967186225,0.000468867775,0.375092918664,,0.0987928,7,,0.104818,7,,0.106412,7,,0.07,0.124894,,0.07,0.00339999999999923,,0.07,0.124894,,0.07,0.00339999999999923,,0.07,0.124895,,0.07,0.00329999999999913,,0.7,0.124612,0.000880000000000048,0.393259,,,0.07,0.124894,0.374623,,0.07,0.124894,0.374623,,0.07,0.124894,0.374256,,0.07,0.124894,0.374257,0.00339999999999923,,3.5,0.122354,1.178525,0.000948000000000004
0.12066144792341,4.40042487087345,,0.08,0.124962497294,0.000468923425,0.375137437929,,0.0873928,8,,0.0944956,8,,0.097224,8,,0.08,0.124854,,0.08,0.00399999999999984,,0.08,0.124854,,0.08,0.00399999999999984,,0.08,0.124854,,0.08,0.00409999999999994,,0.8,0.124293,0.00319,0.398856,,,0.08,0.124854,0.374561,,0.08,0.124854,0.374561,,0.08,0.124854,0.374114,,0.08,0.124854,0.374115,0.00399999999999984,,4,0.121472,1.654363,0.00176400000000002
0.119592676109579,4.72140129521199,,0.09,0.124957807757,0.00046898885,0.375189774192,,0.0776912,9,,0.0826787,9,,0.0853799,9,,0.09,0.124808,,0.09,0.00460000000000044,,0.09,0.124808,,0.09,0.00460000000000044,,0.09,0.124808,,0.09,0.00460000000000044,,0.9,0.124566,-0.00272999999999996,0.406668,,,0.09,0.124808,0.37451,,0.09,0.124808,0.37451,,0.09,0.124808,0.373988,,0.09,0.124808,0.373989,0.00460000000000044,,4.5,0.120143,2.431149,0.00265799999999999
