"1st International Workshop on High-Order CFD Methods, url: https://cfd.ku.edu/hiocfd.html",,,,"C. Carton de Wiart, Assessment of a…",,8x8_3,,,,8x8_4,,,,16x16_3,,,,16x16_4,,,,24x24_3,,,,24x24_4,,,,32x32_3,,,,32x32_4,,,,48x48_3,,,,32x32_5,,,,32x32_6,,,
t*,Kinetic Energy,Enstrophy,Dissipation Rate,k,E(k),t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate,t*,Kinetic Energy,Enstrophy,Dissipation Rate
0,0.125,0.375,0.00046874284,2.01596464628509,0.0204907980441417,0,0.125,0.374999,,0,0.125,0.375,,0,0.125,0.37460935993,-0.000457568999999436,0,0.125,0.375,,0,0.125,0.374609373674,-0.000461253599999545,0,0.125,0.375,,0,0.125,0.374609374764,-0.000463097199999984,0,0.125,0.374609375,-0.000465091000000084,0,0.125,0.375,0.0005000000000005,0,0.125,0.374609375,-0.000466173999999486,0,0.125,0.374609375,-0.000466824200000271
0.01,0.124995312572,0.374989843653,0.00046873893,2.97875387627781,0.0131866043556081,0.01,0.124995,0.374982,,0.01,0.124995,0.374969,,0.01,0.12499542431,0.374600264576,-0.000468513400000981,0.01,0.124995,0.374969,,0.01,0.124995387464,0.374599473598,-0.000468447699999985,0.01,0.124995,0.374969,,0.01,0.124995369028,0.374599560994,-0.00046850520000058,0.01,0.12499534909,0.374599339023,-0.000468506900000443,0.01,0.124995,0.374969,0.000499999999999112,0.01,0.12499533826,0.374599333239,-0.00046850660000014,0.01,0.124995331758,0.37459939228,-0.000468509199999523
0.02,0.124990625221,0.374987498403,0.000468736,4.00953434871819,0.00531097854392966,0.02,0.12499,0.37494,,0.02,0.12499,0.374904,,0.02,0.124990739176,0.37460056025,-0.000468190099998933,0.02,0.12499,0.374904,,0.02,0.124990702987,0.374598201925,-0.000468235400000183,0.02,0.12499,0.374905,,0.02,0.124990683976,0.374597247152,-0.000468182099999659,0.02,0.124990664021,0.374597221252,-0.000468186600000031,0.02,0.12499,0.374904,0.0008000000000008,0.02,0.124990653194,0.374597123992,-0.000468186000000814,0.02,0.124990646666,0.374597141923,-0.000468186200000553
0.03,0.124985937852,0.374992962973,0.000468742835,5.00087872390334,0.00684733270240326,0.03,0.124982,0.374865,,0.03,0.124982,0.37481,,0.03,0.124986057275,0.374607500596,-0.000467679300000801,0.03,0.124982,0.374811,,0.03,0.124986020633,0.374603126852,-0.000467658600000753,0.03,0.124982,0.37481,,0.03,0.124986002155,0.374602749045,-0.000467667400000371,0.03,0.124985982155,0.374602728516,-0.000467666299999725,0.03,0.124982,0.37481,0.00109999999999971,0.03,0.124985971334,0.37460270301,-0.000467665999999423,0.03,0.124985964804,0.374602679677,-0.000467666099999986
0.04,0.124981250365,0.375006236792,0.000468759425,6.00362907633509,0.00833797793463041,0.05,0.124953,0.374635,,0.04,0.124971,0.374691,,0.04,0.124981380482,0.374621158435,-0.000467070599999286,0.04,0.124971,0.374691,,0.04,0.124981344047,0.374616831058,-0.000467065699999436,0.04,0.124971,0.374691,,0.04,0.124981325481,0.374616225639,-0.000467061499999366,0.04,0.124981305492,0.374616210459,-0.000467060400000108,0.04,0.124971,0.374691,0.00180000000000041,0.04,0.124981294674,0.37461617335,-0.000467060500000671,0.04,0.124981288143,0.374616188078,-0.000467060699999022
0.05,0.124976562663,0.375027319999,0.000468785775,7.00696786793465,0.0084773508720588,0.06,0.124927,0.374494,,0.05,0.124953,0.374553,,0.05,0.124976709776,0.374642510006,-0.000466571500000457,0.05,0.124953,0.374554,,0.05,0.12497667339,0.374638084183,-0.000466554300000699,0.05,0.124953,0.374554,,0.05,0.124976654866,0.374637610835,-0.00046655219999997,0.05,0.124976634888,0.374637596403,-0.000466552399999709,0.05,0.124953,0.374554,0.00249999999999973,0.05,0.124976624069,0.374637534834,-0.000466550799999022,0.05,0.124976617536,0.374637510809,-0.000466551100000712
0.06,0.124971874649,0.37505621344,0.000468821895,7.99918005640851,0.00572326549413575,0.07,0.124894,0.374345,,0.06,0.124928,0.374405,,0.06,0.124972044061,0.374671828599,-0.000466321500000588,0.06,0.124928,0.374406,,0.06,0.124972007847,0.374667433263,-0.000466310299999939,0.06,0.124928,0.374406,,0.06,0.124971989344,0.374666840107,-0.000466309499999595,0.06,0.124971969364,0.374666760523,-0.000466308799999815,0.06,0.124928,0.374406,0.00339999999999923,0.06,0.124971958561,0.374666811874,-0.000466308700000639,0.06,0.124971952025,0.374666725496,-0.000466307999999471
0.07,0.124967186225,0.375092918664,0.000468867775,9.01397481293227,0.00160448059437492,0.08,0.124853,0.374199,,0.07,0.124894,0.374256,,0.07,0.124967380846,0.374709083104,-0.000466426199999259,0.07,0.124894,0.374257,,0.07,0.124967344744,0.374704515561,-0.000466413999999915,0.07,0.124894,0.374257,,0.07,0.124967326249,0.374703967417,-0.000466413300000135,0.07,0.124967306276,0.374703844432,-0.000466411900000574,0.07,0.124894,0.374257,0.00399999999999984,0.07,0.124967295474,0.374703854361,-0.00046641199999975,0.07,0.124967288945,0.374703893038,-0.000466411800000011
0.08,0.124962497294,0.375137437929,0.000468923425,10.0064185682023,0.00250633649473431,0.09,0.124807,0.37407,,0.08,0.124854,0.374114,,0.08,0.124962716584,0.374754290458,-0.000466823200000188,0.08,0.124854,0.374115,,0.08,0.124962680604,0.374749578551,-0.000466810499999415,0.08,0.124854,0.374115,,0.08,0.124962662116,0.374748952437,-0.000466809099999854,0.08,0.124962642157,0.374748823729,-0.000466807399999991,0.08,0.124854,0.374115,0.00460000000000044,0.08,0.124962631354,0.37474879566,-0.000466807500000555,0.08,0.124962624827,0.374748775505,-0.000466807000000513
